state,month,positiveIncrease,hospitalizedCumulativeIncrease,posHosPercent
SC,January,0,0,
SC,February,0,0,
SC,March,1083,102,9.418
SC,April,5012,898,17.917
SC,May,5766,634,10.995
SC,June,24538,1220,4.972
SC,July,21769,544,2.499
SD,January,0,0,
SD,February,0,0,
SD,March,108,12,11.111
SD,April,2341,161,6.877
SD,May,2544,259,10.181
SD,June,1771,234,13.213
SD,July,760,76,10.0
TN,January,0,0,
TN,February,0,0,
TN,March,2239,175,7.816
TN,April,8496,870,10.24
TN,May,12271,705,5.745
TN,June,20503,915,4.463
TN,July,21765,619,2.844
TX,January,0,0,
TX,February,0,0,
TX,March,3266,0,0.0
TX,April,24821,0,0.0
TX,May,36200,0,0.0
TX,June,95699,0,0.0
TX,July,104327,0,0.0
UT,January,0,0,
UT,February,0,0,
UT,March,887,73,8.23
UT,April,3785,317,8.375
UT,May,5125,385,7.512
UT,June,12420,669,5.386
UT,July,7813,406,5.196
VT,January,0,0,
VT,February,0,0,
VT,March,320,36,11.25
VT,April,559,-36,-6.44
VT,May,102,0,0.0
VT,June,227,0,0.0
VT,July,93,0,0.0
VA,January,0,0,
VA,February,0,0,
VA,March,1250,165,13.2
VA,April,14596,3489,23.904
VA,May,28761,3672,12.767
VA,June,18180,1656,9.109
VA,July,8855,1477,16.68
WA,January,3,0,0.0
WA,February,296,0,0.0
WA,March,8132,0,0.0
WA,April,7878,0,0.0
WA,May,7147,3480,48.692
WA,June,8797,843,9.583
WA,July,8403,428,5.093
WV,January,0,0,
WV,February,0,0,
WV,March,162,1,0.617
WV,April,956,-1,-0.105
WV,May,892,0,0.0
WV,June,895,0,0.0
WV,July,1354,0,0.0
WI,January,0,0,
WI,February,0,0,
WI,March,1585,337,21.262
WI,April,6467,1175,18.169
WI,May,12512,1071,8.56
WI,June,11098,863,7.776
WI,July,8720,404,4.633
WY,January,0,0,
WY,February,0,0,
WY,March,109,17,15.596
WY,April,435,39,8.966
WY,May,359,29,8.078
WY,June,584,32,5.479
WY,July,375,7,1.867
